Ponto,Amostra,SSID1,RSSI1,SSID2,RSSI2,SSID3,RSSI3,SSID4,RSSI4,SSID5,RSSI5,SSID6,RSSI6,SSID7,RSSI7,SSID8,RSSI8,SSID9,RSSI9,SSID10,RSSI10
TP1,11,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-69,VISITANTE_CETELI,-69,CETELI_WIFI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,lpmc_ft,-81,Lab-Materiais,-83,S80,-83
TP1,12,VISITANTE_CETELI,-68,CETELI_TREINAMENTOS,-68,CETELI_P&D,-68,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_WIFI,-69,TPV,-76,lpmc_ft,-78,dlink-9A00,-79,Lab-Materiais,-82
TP1,13,eduroam,-69,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,wifi-zone-ufam-1,-70,TPV,-76,dlink-9A00,-79,lpmc_ft,-80,BRITO_AP,-83
TP1,14,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,CETELI_P&D,-70,TPV,-76,dlink-9A00,-77,BRITO_AP,-82,Lab-Materiais,-83
TP1,15,CETELI_WIFI,-68,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,TPV,-77,dlink-9A00,-79,Lab-Materiais,-81,lpmc_ft,-81
TP1,16,CETELI_P&D,-68,dlink-9A00,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_WIFI,-69,eduroam,-70,wifi-zone-ufam-1,-70,TPV,-77,S80,-82,Lab-Materiais,-84
TP1,17,VISITANTE_CETELI,-68,eduroam,-69,dlink-9A00,-69,CETELI_WIFI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,wifi-zone-ufam-1,-70,TPV,-77,BRITO_AP,-82,Lab-Materiais,-82
TP1,18,dlink-9A00,-69,CETELI_WIFI,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,TPV,-76,Lab-Materiais,-82,lpmc_ft,-82
TP1,19,eduroam,-69,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_P&D,-71,CETELI_TREINAMENTOS,-72,TPV,-77,dlink-9A00,-78,Lab-Materiais,-81,BRITO_AP,-83
TP1,20,dlink-9A00,-69,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-71,CETELI_P&D,-71,TPV,-76,lpmc_ft,-80,S80,-82
TP1,21,dlink-9A00,-69,CETELI_P&D,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,TPV,-77,lpmc_ft,-83,S80,-83
TP1,22,CETELI_P&D,-68,CETELI_WIFI,-69,CETELI_TREINAMENTOS,-69,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,dlink-9A00,-71,TPV,-78,lpmc_ft,-80,S80,-81
TP1,23,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,TPV,-77,dlink-9A00,-78,lpmc_ft,-81,Lab-Materiais,-82
TP1,24,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,CETELI_WIFI,-71,TPV,-77,Lab-Materiais,-78,lpmc_ft,-80
TP1,25,CETELI_TREINAMENTOS,-69,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,CETELI_WIFI,-70,CETELI_P&D,-70,TPV,-78,dlink-9A00,-78,lpmc_ft,-80,Lab-Materiais,-82
TP1,26,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,CETELI_P&D,-70,lpmc_ft,-77,TPV,-77,S80,-82
TP1,27,CETELI_WIFI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,TPV,-77,dlink-9A00,-79,S80,-82,lpmc_ft,-83
TP1,28,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,TPV,-78,lpmc_ft,-81,Lab-Materiais,-83,S80,-83
TP1,29,CETELI_WIFI,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-73,TPV,-77,lpmc_ft,-81,S80,-83
TP1,30,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,wifi-zone-ufam-1,-70,eduroam,-71,TPV,-77,dlink-9A00,-78,S80,-83,Lab-Materiais,-84
TP1,31,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,TPV,-77,Lab-Materiais,-82,S80,-82
TP1,32,dlink-9A00,-69,VISITANTE_CETELI,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,CETELI_TREINAMENTOS,-70,TPV,-77,lpmc_ft,-79,Lab-Materiais,-82
TP1,33,VISITANTE_CETELI,-68,CETELI_TREINAMENTOS,-68,CETELI_WIFI,-68,wifi-zone-ufam-1,-69,CETELI_P&D,-69,eduroam,-70,TPV,-72,lpmc_ft,-82,Lab-Materiais,-83,S80,-83
TP1,34,CETELI_WIFI,-68,CETELI_TREINAMENTOS,-68,CETELI_P&D,-68,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,VISITANTE_CETELI,-71,TPV,-77,Lab-Materiais,-82,lpmc_ft,-82
TP1,35,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-77,Lab-Materiais,-81,S80,-82,BRITO_AP,-84
TP1,36,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_P&D,-70,CETELI_WIFI,-71,TPV,-77,Lab-Materiais,-82,lpmc_ft,-82,S80,-83
TP1,37,CETELI_WIFI,-68,VISITANTE_CETELI,-68,CETELI_P&D,-68,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-69,CETELI_TREINAMENTOS,-69,TPV,-77,lpmc_ft,-82,Lab-Materiais,-83
TP1,38,CETELI_TREINAMENTOS,-68,dlink-9A00,-69,VISITANTE_CETELI,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,TPV,-77,lpmc_ft,-78,Lab-Materiais,-82
TP1,39,wifi-zone-ufam-1,-69,dlink-9A00,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,CETELI_WIFI,-70,TPV,-77,lpmc_ft,-78,Lab-Materiais,-81
TP1,40,wifi-zone-ufam-1,-69,dlink-9A00,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,CETELI_WIFI,-70,TPV,-76,Lab-Materiais,-81,lpmc_ft,-82
TP1,41,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,CETELI_P&D,-72,TPV,-78,dlink-9A00,-79,Lab-Materiais,-81,lpmc_ft,-81
TP1,42,CETELI_P&D,-67,VISITANTE_CETELI,-69,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,CETELI_WIFI,-70,CETELI_TREINAMENTOS,-70,TPV,-77,lpmc_ft,-80,S80,-83
TP1,43,CETELI_WIFI,-68,VISITANTE_CETELI,-68,wifi-zone-ufam-1,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,TPV,-76,lpmc_ft,-78,Lab-Materiais,-83,IoT-zone-ufam,-84
TP1,44,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_WIFI,-69,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-73,Lab-Materiais,-79,dlink-9A00,-80,S80,-82
TP1,45,wifi-zone-ufam-1,-67,eduroam,-68,CETELI_P&D,-69,dlink-9A00,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-71,TPV,-76,lpmc_ft,-80,Lab-Materiais,-83
TP1,46,eduroam,-66,wifi-zone-ufam-1,-66,CETELI_P&D,-69,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-71,VISITANTE_CETELI,-71,TPV,-76,dlink-9A00,-76,lpmc_ft,-80,Lab-Materiais,-83
TP1,47,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-69,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-71,CETELI_P&D,-71,VISITANTE_CETELI,-72,lpmc_ft,-77,TPV,-77,Lab-Materiais,-83
TP1,48,CETELI_WIFI,-69,CETELI_P&D,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-70,wifi-zone-ufam-1,-71,eduroam,-72,TPV,-76,dlink-9A00,-80,Lab-Materiais,-83,lpmc_ft,-83
TP1,49,eduroam,-68,wifi-zone-ufam-1,-68,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_P&D,-70,CETELI_TREINAMENTOS,-72,dlink-9A00,-76,TPV,-78,lpmc_ft,-82,Lab-Materiais,-83
TP1,50,dlink-9A00,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,eduroam,-71,TPV,-77,lpmc_ft,-78,S80,-82
TP1,51,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,wifi-zone-ufam-1,-70,eduroam,-70,dlink-9A00,-70,CETELI_P&D,-70,TPV,-79,lpmc_ft,-81,S80,-82
TP1,52,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-71,TPV,-78,lpmc_ft,-81,Lab-Materiais,-82
TP1,53,dlink-9A00,-69,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,VISITANTE_CETELI,-71,TPV,-78,lpmc_ft,-82,S80,-82
TP1,54,CETELI_TREINAMENTOS,-68,eduroam,-69,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_P&D,-70,TPV,-78,dlink-9A00,-80,lpmc_ft,-82,Lab-Materiais,-83
TP1,55,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,CETELI_WIFI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,VISITANTE_CETELI,-71,TPV,-76,lpmc_ft,-79,Lab-Materiais,-82
TP1,56,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-77,Lab-Materiais,-81,lpmc_ft,-81
TP1,57,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,CETELI_WIFI,-72,TPV,-77,lpmc_ft,-81,S80,-82
TP1,58,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-75,Lab-Materiais,-82,lpmc_ft,-82
TP1,59,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_P&D,-69,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,TPV,-77,dlink-9A00,-79,Lab-Materiais,-83,lpmc_ft,-85
TP1,60,wifi-zone-ufam-1,-69,eduroam,-69,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-77,Lab-Materiais,-82,lpmc_ft,-82,S80,-84
TP1,61,eduroam,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_WIFI,-69,CETELI_P&D,-69,wifi-zone-ufam-1,-70,TPV,-77,dlink-9A00,-79,lpmc_ft,-81,BRITO_AP,-82
TP1,62,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,dlink-9A00,-70,CETELI_WIFI,-70,TPV,-77,lpmc_ft,-82,S80,-82
TP1,63,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-69,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_P&D,-70,CETELI_TREINAMENTOS,-72,TPV,-78,lpmc_ft,-79,Lab-Materiais,-82
TP1,64,wifi-zone-ufam-1,-69,dlink-9A00,-69,CETELI_TREINAMENTOS,-69,eduroam,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_P&D,-70,TPV,-76,Lab-Materiais,-81,lpmc_ft,-81
TP1,65,eduroam,-68,wifi-zone-ufam-1,-68,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_P&D,-69,CETELI_TREINAMENTOS,-70,TPV,-76,lpmc_ft,-79,dlink-9A00,-79,Lab-Materiais,-82
TP1,66,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_TREINAMENTOS,-74,CETELI_WIFI,-74,CETELI_P&D,-74,VISITANTE_CETELI,-74,TPV,-78,lpmc_ft,-84,Lab-Materiais,-85,IoT-zone-ufam,-85
TP1,67,CETELI_WIFI,-68,VISITANTE_CETELI,-68,CETELI_TREINAMENTOS,-68,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_P&D,-69,dlink-9A00,-70,TPV,-78,lpmc_ft,-79,Lab-Materiais,-81
TP1,68,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,dlink-9A00,-70,CETELI_WIFI,-70,TPV,-77,lpmc_ft,-79,Lab-Materiais,-81
TP1,69,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-69,CETELI_WIFI,-71,VISITANTE_CETELI,-71,CETELI_TREINAMENTOS,-71,CETELI_P&D,-71,TPV,-76,lpmc_ft,-80,Lab-Materiais,-83
TP1,70,dlink-9A00,-67,wifi-zone-ufam-1,-69,eduroam,-70,CETELI_P&D,-71,CETELI_WIFI,-72,VISITANTE_CETELI,-72,CETELI_TREINAMENTOS,-72,TPV,-78,S80,-79,lpmc_ft,-80
TP1,71,VISITANTE_CETELI,-67,CETELI_WIFI,-68,CETELI_TREINAMENTOS,-68,CETELI_P&D,-68,eduroam,-69,wifi-zone-ufam-1,-69,Lab-Materiais,-82,S80,-83,IoT-zone-ufam,-85,BRITO_AP,-88
TP1,72,wifi-zone-ufam-1,-69,eduroam,-69,VISITANTE_CETELI,-71,CETELI_TREINAMENTOS,-71,CETELI_WIFI,-71,CETELI_P&D,-71,TPV,-78,lpmc_ft,-80,Lab-Materiais,-82,BRITO_AP,-85
TP1,73,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,CETELI_P&D,-70,dlink-9A00,-75,TPV,-77,lpmc_ft,-80,Lab-Materiais,-82
TP1,74,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-69,CETELI_WIFI,-69,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-77,dlink-9A00,-79,Lab-Materiais,-82,S80,-84
TP1,75,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,TPV,-73,dlink-9A00,-79,lpmc_ft,-81,Lab-Materiais,-82
TP1,76,CETELI_WIFI,-66,VISITANTE_CETELI,-66,CETELI_TREINAMENTOS,-66,CETELI_P&D,-67,eduroam,-69,wifi-zone-ufam-1,-69,TPV,-76,dlink-9A00,-77,lpmc_ft,-81,Lab-Materiais,-83
TP1,77,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_WIFI,-70,CETELI_P&D,-70,TPV,-76,dlink-9A00,-77,Lab-Materiais,-81,lpmc_ft,-82
TP1,78,eduroam,-68,wifi-zone-ufam-1,-69,dlink-9A00,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-72,CETELI_WIFI,-72,CETELI_P&D,-72,lpmc_ft,-77,TPV,-77,S80,-83
TP1,79,eduroam,-67,wifi-zone-ufam-1,-67,dlink-9A00,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,CETELI_P&D,-70,TPV,-76,lpmc_ft,-77,Lab-Materiais,-79
TP1,80,VISITANTE_CETELI,-68,CETELI_TREINAMENTOS,-68,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_WIFI,-69,CETELI_P&D,-69,TPV,-76,dlink-9A00,-78,lpmc_ft,-81,S80,-83
TP1,81,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-71,VISITANTE_CETELI,-71,CETELI_TREINAMENTOS,-71,CETELI_P&D,-71,TPV,-77,dlink-9A00,-78,Lab-Materiais,-80,lpmc_ft,-80
TP1,82,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-69,CETELI_WIFI,-69,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-77,lpmc_ft,-81,Lab-Materiais,-82
TP1,83,eduroam,-67,wifi-zone-ufam-1,-67,VISITANTE_CETELI,-70,CETELI_WIFI,-71,CETELI_P&D,-71,CETELI_TREINAMENTOS,-72,TPV,-76,dlink-9A00,-77,lpmc_ft,-81,BRITO_AP,-82
TP1,84,VISITANTE_CETELI,-66,CETELI_TREINAMENTOS,-66,CETELI_WIFI,-66,CETELI_P&D,-66,eduroam,-69,wifi-zone-ufam-1,-69,TPV,-78,dlink-9A00,-79,Lab-Materiais,-80,lpmc_ft,-80
TP1,85,eduroam,-66,wifi-zone-ufam-1,-66,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_WIFI,-69,dlink-9A00,-70,CETELI_P&D,-70,TPV,-77,S80,-78,Lab-Materiais,-81
TP1,86,eduroam,-68,wifi-zone-ufam-1,-68,CETELI_P&D,-69,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,TPV,-77,Lab-Materiais,-81,lpmc_ft,-82,S80,-83
TP1,87,wifi-zone-ufam-1,-69,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,eduroam,-70,dlink-9A00,-70,CETELI_P&D,-70,TPV,-77,Lab-Materiais,-81,lpmc_ft,-81
TP1,88,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,TPV,-78,dlink-9A00,-78,lpmc_ft,-81,S80,-83
TP1,89,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,CETELI_WIFI,-70,TPV,-77,Lab-Materiais,-82,S80,-83
TP1,90,CETELI_WIFI,-69,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,TPV,-77,dlink-9A00,-77,Lab-Materiais,-81,S80,-83
TP1,91,VISITANTE_CETELI,-69,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-71,TPV,-78,dlink-9A00,-79,lpmc_ft,-80,Lab-Materiais,-83
TP1,92,wifi-zone-ufam-1,-69,CETELI_WIFI,-69,eduroam,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-78,lpmc_ft,-79,dlink-9A00,-79,Lab-Materiais,-82
TP1,93,dlink-9A00,-68,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_P&D,-69,VISITANTE_CETELI,-69,CETELI_WIFI,-70,CETELI_TREINAMENTOS,-70,TPV,-77,lpmc_ft,-80,Lab-Materiais,-82
TP1,94,wifi-zone-ufam-1,-69,eduroam,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,CETELI_P&D,-70,TPV,-77,lpmc_ft,-80,Lab-Materiais,-82,BRITO_AP,-83
TP1,95,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,CETELI_WIFI,-72,TPV,-73,lpmc_ft,-81,Lab-Materiais,-83,BRITO_AP,-84
TP1,96,eduroam,-69,wifi-zone-ufam-1,-70,dlink-9A00,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-77,lpmc_ft,-81,Lab-Materiais,-82
TP1,97,VISITANTE_CETELI,-69,CETELI_TREINAMENTOS,-69,CETELI_WIFI,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,TPV,-77,Lab-Materiais,-81,lpmc_ft,-82,S80,-82
TP1,98,CETELI_TREINAMENTOS,-69,CETELI_WIFI,-69,CETELI_P&D,-69,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,TPV,-77,BRITO_AP,-82,Lab-Materiais,-83,S80,-83
TP1,99,wifi-zone-ufam-1,-69,eduroam,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,CETELI_P&D,-72,TPV,-77,Lab-Materiais,-81,lpmc_ft,-81,S80,-83
TP1,100,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,CETELI_P&D,-72,TPV,-78,Lab-Materiais,-81,lpmc_ft,-82,isabele's Galaxy F41,-82
TP1,101,wifi-zone-ufam-1,-70,eduroam,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,CETELI_WIFI,-73,TPV,-77,dlink-9A00,-79,isabele's Galaxy F41,-79,Lab-Materiais,-82
TP1,102,CETELI_TREINAMENTOS,-69,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,CETELI_WIFI,-70,CETELI_P&D,-70,isabele's Galaxy F41,-74,TPV,-77,Lab-Materiais,-82,lpmc_ft,-83
TP1,103,wifi-zone-ufam-1,-69,eduroam,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,CETELI_P&D,-70,TPV,-74,isabele's Galaxy F41,-76,lpmc_ft,-81,Lab-Materiais,-82
TP1,104,eduroam,-70,wifi-zone-ufam-1,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,CETELI_P&D,-70,dlink-9A00,-74,TPV,-77,Lab-Materiais,-82,lpmc_ft,-82
TP1,105,eduroam,-70,wifi-zone-ufam-1,-70,dlink-9A00,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-77,Lab-Materiais,-80,lpmc_ft,-82
TP1,106,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_WIFI,-70,CETELI_P&D,-70,TPV,-78,IoT-zone-ufam,-86,isabele's Galaxy F41,-86,BRITO_AP,-88
TP1,107,wifi-zone-ufam-1,-69,eduroam,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,dlink-9A00,-71,CETELI_WIFI,-71,TPV,-77,Lab-Materiais,-82,IoT-zone-ufam,-84
TP1,108,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-70,TPV,-73,Lab-Materiais,-82,isabele's Galaxy F41,-83
